first_order_month,customers,bought_again_ever,second_purchase_rate_lifetime,lifetime_orders,orders_per_customer,lifetime_spend_aud,spend_per_customer_aud,cohort_age_months_at_2026_09_08
2024-09,7339,2238,0.3049,11495,1.566,926410.11,126.23,24
2024-10,9851,3098,0.3145,15477,1.571,1314171.28,133.40,23
2024-11,22202,5551,0.2500,31969,1.440,2687338.26,121.04,22
2024-12,7557,1955,0.2587,11024,1.459,922932.39,122.13,21
2025-01,10535,2360,0.2240,14553,1.381,1148037.99,108.97,20
2025-02,7879,1500,0.1904,10340,1.312,757817.62,96.18,19
2025-03,6243,1588,0.2544,8981,1.439,677082.87,108.45,18
2025-04,7132,1918,0.2689,10408,1.459,828494.68,116.17,17
2025-05,4816,1169,0.2427,6807,1.413,688016.85,142.86,16
2025-06,5456,1248,0.2287,7590,1.391,762074.33,139.68,15
2025-07,8370,1742,0.2081,11177,1.335,1126479.26,134.59,14
2025-08,6681,1434,0.2146,9002,1.347,869470.91,130.14,13
2025-09,4479,1002,0.2237,6117,1.366,650010.64,145.12,12
2025-10,4086,1018,0.2491,5715,1.399,600583.25,146.99,11
2025-11,21900,3999,0.1826,27680,1.264,2372651.35,108.34,10
2025-12,12117,1833,0.1513,14728,1.215,1309875.71,108.10,9
2026-01,5559,938,0.1687,6939,1.248,630865.92,113.49,8
2026-02,3894,619,0.1590,4760,1.222,425123.85,109.17,7
2026-03,5216,772,0.1480,6251,1.198,495458.17,94.99,6
2026-04,4465,550,0.1232,5183,1.161,441428.72,98.86,5
2026-05,4615,448,0.0971,5171,1.120,429199.53,93.00,4
2026-06,2836,233,0.0822,3118,1.099,244921.65,86.36,3
2026-07,2378,141,0.0593,2546,1.071,267705.88,112.58,2
2026-08,1323,44,0.0333,1368,1.034,130675.14,98.77,1
