month,orders,net_sales_aud,new_customers,returning_customers,net_sales_new_aud,net_sales_returning_aud,returning_orders,meta_spend_aud,shopify_returning_customer_rate
2024-09,10275,724548.37,7339,2816,487752.09,236796.28,2936,,0.2773
2024-10,17921,1461179.67,9851,7382,711446.86,749633.21,8067,,0.4284
2024-11,34056,2515071.72,22202,10961,1574940.58,939792.74,11849,,0.3305
2024-12,14308,1040356.67,7557,6223,525832.50,514279.97,6746,,0.4516
2025-01,17865,1180772.63,10535,6754,671568.37,509204.26,7330,,0.3907
2025-02,11246,648325.04,7879,3215,434254.84,214070.20,3367,,0.2898
2025-03,11350,713516.99,6243,4821,375701.02,337815.97,5107,,0.4357
2025-04,12910,867854.01,7132,5290,464675.34,403178.67,5778,,0.4259
2025-05,8273,701446.72,4816,3226,417398.12,284048.60,3456,,0.4011
2025-06,9696,839701.24,5456,3940,481401.03,358300.21,4239,,0.4193
2025-07,13168,1139112.81,8370,4516,736933.96,402178.85,4798,,0.3505
2025-08,11459,952409.23,6681,4470,561799.29,390609.94,4778,,0.4009
2025-09,9067,865827.16,4479,4260,433414.33,432412.83,4588,346676.95,0.4875
2025-10,7609,727948.58,4086,3306,398870.34,329078.24,3523,336483.27,0.4472
2025-11,37946,3019758.40,21900,14695,1646063.41,1373694.99,16046,885943.44,0.4016
2025-12,20457,1565213.35,12117,7713,953408.92,611804.43,8340,695190.07,0.3890
2026-01,10214,774900.53,5559,4227,442474.77,332425.76,4655,388493.10,0.4319
2026-02,6744,513097.83,3894,2672,304194.87,208902.96,2850,286167.15,0.4069
2026-03,10056,706464.08,5216,4556,351918.33,354545.75,4839,187621.89,0.4662
2026-04,7647,583652.02,4465,3077,336312.92,247339.10,3182,100588.28,0.4080
2026-05,10554,800751.27,4615,5392,346871.01,453880.26,5936,180253.01,0.5388
2026-06,6928,489996.24,2836,3844,199863.40,290132.84,4092,185888.48,0.5754
2026-07,4848,439166.34,2378,2361,217625.07,221541.27,2470,178494.56,0.4982
2026-08,3231,265006.45,1323,1813,110456.77,154549.68,1907,98521.14,0.5781
